1,"Outreach","http://www.outreach.io/","Enterprise Software   - B2B"
2,"Zenoti","http://www.zenoti.com/","Enterprise Software   - B2B"
3,"OfferUp","http://offerupnow.com/","E-commerce   Marketplace   - B2C"
4,"Place","https://place.com/","Real Estate   - B2B"
5,"iSpot.tv","http://www.ispot.tv/","Advertising   - B2B"
6,"Highspot","https://www.highspot.com/","Marketing   Software   - B2B"
7,"Qumulo","http://www.qumulo.com/","Storage   - B2B"
8,"Rec Room","http://rec.net","Games   Virtual Reality"
9,"Responsive","https://www.responsive.io/","Enterprise Software"
10,"Wyze Labs","https://wyze.com/","Smart Devices"
11,"Hiya","http://www.hiya.com","Mobile   SAAS   Security   - B2B"
12,"Agility Robotics","https://agilityrobotics.com/","Hardware   Robotics"
13,"MedBridge","https://www.medbridge.com/","Education   Healthcare"
14,"SheerID","https://www.sheerid.com/","Enterprise Software   - B2B"
15,"Karat","https://karat.io","Software"
16,"Amperity","https://amperity.com/","Enterprise Software"
17,"Rad Power Bikes","https://www.radpowerbikes.com/","Transportation"
18,"Esper","https://esper.io/","Developer Tools   Mobile"
19,"Boundless","https://www.boundless.com/","- B2C"
20,"AccelByte","https://accelbyte.io/","Games"
21,"Certn","https://www.certn.co/","HR   Security   - B2B"
22,"Kymeta","http://www.kymetacorp.com/","Hardware   Networking   - B2B"
23,"Glowforge","https://glowforge.com/","Hardware"
24,"CoreStack","https://www.corestack.io/","Cloud Computing   - B2B"
25,"Fabric","http://fabric.inc/","E-commerce   - B2B"
26,"Proprio","https://www.propriovision.com/","Artificial Intelligence   Augmented Reality   Healthcare   - B2B"
27,"Flexe","https://www.flexe.com/","Marketplace   - B2B"
28,"Moxi Works","http://moxiworks.com/","Marketing   Real Estate   - B2B"
29,"Stackline","https://www.stackline.com/","Advertising   E-commerce   - B2B"
30,"Klue","http://klue.com/","Business Intelligence   SAAS   - B2B"
31,"SeekOut","https://www.seekout.com/","Artificial Intelligence   HR"
32,"Helion","https://www.helionenergy.com/","Clean Tech"
33,"SkyKick","https://www.skykick.com/","Cloud Computing   - B2B"
34,"Lexion","https://lexion.ai","Artificial Intelligence   - B2B"
35,"DexCare","https://www.dexcarehealth.com/","Healthcare   - B2B B2C"
36,"Carbon Robotics","https://carbonrobotics.com/","Agriculture   Robotics"
37,"Snap! Raise","https://www.snap-raise.com","Finance   SAAS"
38,"Zuper","https://zuper.co/","SAAS"
39,"Data Science Dojo","http://datasciencedojo.com/","Analytics   - B2B"
40,"OctoAI","https://octoai.cloud/","Developer Tools   Machine Learning   - B2B"
41,"Group14 Technologies","https://www.group14technologies.com/","Clean Tech   Hardware"
42,"TrovaTrip","https://trovatrip.com/","Software   Travel"
43,"Mason","https://bymason.com","Hardware   Software   - B2B"
44,"Seeq","https://www.seeq.com/","Analytics   Business Intelligence   Internet of Things   - B2B"
45,"Flyhomes","https://www.flyhomes.com/","Finance   Real Estate   - B2C"
46,"98point6","https://www.98point6.com/","Healthcare"
47,"Skilljar","http://www.skilljar.com/","Education   Software   - B2B"
48,"Educative","https://www.educative.io/","Education   Software   - B2C"
49,"Swiftly","https://useswiftly.com","Food & Beverage   Retail   - B2B"
50,"Lumen Learning","http://lumenlearning.com/","Education"
51,"Truveta","https://www.truveta.com/","Healthcare"
52,"Dutchie","https://dutchie.com/home","Cannabis   Marketplace   - B2C"
53,"Syndio","https://synd.io/","Analytics   HR   - B2B"
54,"Viome","https://www.viome.com/","Artificial Intelligence   Big Data   Healthcare   - B2C"
55,"Omnidian","https://www.omnidian.com/","Clean Tech"
56,"Pallet","https://palletshelter.com/","Construction"
57,"Riipen","https://riipen.com/","Education   Marketplace"
58,"Ridwell","https://www.ridwell.com/","Clean Tech   - B2C"
59,"RealWear","https://www.realwear.com/","Augmented Reality   Smart Devices"
60,"Textio","http://textio.com/","Analytics   SAAS   - B2B"
61,"WellSaid","https://wellsaidlabs.com","Artificial Intelligence   Voice Technology"
62,"Hyperproof","https://hyperproof.io","Cloud Computing   SAAS   - B2B"
63,"Pulumi","https://www.pulumi.com/","Cloud Computing   SAAS   - B2B"
64,"Defined.ai","https://www.defined.ai/","Artificial Intelligence   Big Data   Machine Learning   - B2B"
65,"Temporal","https://www.temporal.io/","Developer Tools   Software"
66,"LevelTen Energy","http://www.leveltenenergy.com/","SAAS   - B2B"
67,"Trulioo","https://www.trulioo.com/","Security   - B2B"
68,"Pure Watercraft","https://www.purewatercraft.com/","Hardware   Maritime   - B2B B2C"
69,"Tomo","https://hellotomo.com/","Finance   Real Estate"
70,"Possible Finance","https://possiblefinance.com/","Finance   Mobile   - B2C"
71,"Form","https://www.formswim.com","Hardware   Smart Devices   Wearables   - B2C"
72,"Center","https://getcenter.com/","Software"
73,"Statsig","https://statsig.com/","Developer Tools   Software"
74,"Likewise","https://likewise.com/","Consumer Internet   Social Network"
75,"Brinc","https://brincdrones.com/","Hardware   Robotics   - B2B"
76,"Ventec Life Systems","https://www.venteclife.com/","Hardware   Healthcare"
77,"Vibe","https://vibe.us/","Enterprise Software   Hardware   - B2B"
78,"Echodyne","http://www.echodyne.com","Hardware   Manufacturing"
79,"Operto","https://operto.com/","Hospitality   Software"
80,"Boulder Care","https://boulder.care","Healthcare"
81,"The Dyrt","https://thedyrt.com/","Consumer Internet   Media   Travel   - B2C"
82,"Mast Reforestation","https://mastreforest.com/","Agriculture   Clean Tech   - B2B"
83,"Foureyes","https://foureyes.io/","Business Intelligence   Software"
84,"Tagboard","http://tagboard.com","Consumer Internet   Media   - B2B"
85,"Deako","https://www.deako.com/#/","Hardware   - B2B"
86,"Stoke Space","https://www.stokespace.com/","Aerospace"
87,"Moment","http://momentlens.co/","Hardware   - B2C"
88,"Armoire","http://www.armoire.style/","E-commerce   Wearables   - B2C"
89,"Nexii","https://www.nexii.com/","Clean Tech   Construction"
90,"Crowd Cow","https://www.crowdcow.com","E-commerce   Food & Beverage   - B2C"
91,"Latchel","https://latchel.com","Real Estate"
92,"optimize.health","https://www.optimize.health","Healthcare   Software"
93,"ZenHub","https://www.zenhub.com/","Developer Tools   Software   - B2B"
94,"Zap Energy","https://www.zapenergyinc.com/","Clean Tech"
95,"Nori","https://nori.com/","Blockchain   Cryptocurrency   Marketplace   - B2B"
96,"FISPAN","https://www.fispan.com/","Finance   - B2B"
97,"Atlas Health","https://atlas.health/","Healthcare"
98,"Sofy","https://www.sofy.ai","SAAS"
99,"Arrived","https://arrivedhomes.com/","Finance   Real Estate"
100,"AskNicely","https://www.asknicely.com","Mobile   Software   - B2B"
101,"Crelate","https://www.crelate.com","Enterprise Software   HR"
102,"QorusDocs","https://www.qorusdocs.com/","Enterprise Software   - B2B"
103,"Logixboard","https://logixboard.com/","Transportation   - B2B"
104,"Dumpling","https://dumpling.us","Food & Beverage   - B2B B2C"
105,"Jirav","https://www.jirav.com/","Finance   - B2B"
106,"StormX","https://www.stormx.io/","Cryptocurrency"
107,"Discovery Health MD","http://www.discoveryhealthmd.com/","Maritime   - B2B"
108,"Jobscan","https://www.jobscan.co","Artificial Intelligence   SAAS"
109,"Parse","https://www.parsebiosciences.com/","Healthcare   Software"
110,"Chainguard","https://www.chainguard.dev/","Cybersecurity   Software"
111,"Phylos Bioscience","http://www.phylosbioscience.com/","Cannabis   Life Sciences"
112,"Xealth","https://xealth.io/","Healthcare   - B2B"
113,"Pandion","https://www.pandionpro.com/","E-commerce   Machine Learning   Transportation"
114,"Spocket","https://spocket.co/","E-commerce   Retail   SAAS   - B2B"
115,"Aspect Biosystems","http://www.aspectbiosystems.com/","Healthcare   Life Sciences   - B2B"
116,"Avocor","https://www.avocor.com","Manufacturing   - B2B"
117,"Critical Insight","https://www.criticalinsight.com/","Security   - B2B"
118,"Eclypsium","https://eclypsium.io/","Security   - B2B"
119,"HaptX","https://haptx.com/","Virtual/Augmented Reality"
120,"Picket","https://pickethomes.com","Real Estate"
121,"Pivotal Commware","https://pivotalcommware.com/","Telecommunications"
122,"Headset","http://www.headset.io","Cannabis   Software"
123,"Taqtile","http://taqtile.com/","Mobile   Virtual/Augmented Reality   - B2B"
124,"QA Wolf","https://www.qawolf.com","Developer Tools"
125,"Heard","https://www.joinheard.com/","Finance   Mental Health"
126,"iGMS","https://www.igms.com/","SAAS   Travel   - B2B"
127,"Gamesight","https://gamesight.io/","Developer Tools   Games   Marketing   - B2B"
128,"Copper","https://getcopper.com/","Finance   - B2C"
129,"PTO Exchange","https://www.ptoexchange.com/","Enterprise Software   Finance   HR"
130,"Atomo Coffee","https://www.atomocoffee.com/","Food & Beverage"
131,"React Mobile","https://www.reactmobile.com/","Internet of Things   Security   Smart Devices   - B2B"
132,"Common Room","https://www.commonroom.io/","Software   Telecommunications   - B2B"
133,"bttn","https://bttnusa.com/","Healthcare   Marketplace"
134,"Vouched","https://www.vouched.id","Security   Software"
135,"Formations","https://formationscorp.com","Finance"
136,"Picnic","https://www.hellopicnic.com/","Food & Beverage   Robotics   - B2B"
137,"Tupl","https://www.tupl.com/","Enterprise Software   Telecommunications   - B2B"
138,"Shelf Engine","http://www.shelfengine.com/","Enterprise Software   Food & Beverage   Machine Learning   - B2B"
139,"Falkon","https://www.falkon.ai/","Artificial Intelligence   Software"
140,"WiBotic","http://www.wibotic.com/","Hardware   Robotics   - B2B"
141,"Aigen","https://www.aigen.io/","Agriculture   Artificial Intelligence"
142,"Outbound AI","https://outbound.ai/","Artificial Intelligence   Healthcare"
143,"Membrion","https://membrion.com/","Life Sciences"
144,"Shipium","https://www.shipium.com/","E-commerce   SAAS"
145,"Brook","https://www.brook.ai/","Healthcare   - B2B B2C"
146,"Lumen Bioscience","https://www.lumenbioscience.com/","Life Sciences   - B2B"
147,"MotherDuck","https://motherduck.com/","Cloud Computing   Data Analytics   - B2B"
148,"Rhythms","https://www.getrhythms.ai/","Artificial Intelligence   Enterprise Software"
149,"PortX","http://www.modusbox.com","Finance   Software"
150,"Cajal Neuroscience","https://www.cajalneuro.com/","Healthcare   - B2C"
151,"Protect AI","https://protectai.com/","Artificial Intelligence   Cybersecurity"
152,"Steller","https://steller.co/","Social Network   Travel"
153,"Upbound","https://upbound.io/","Cloud Computing   Software   - B2B"
154,"Opala","https://www.opala.com","Healthcare"
155,"WhyLabs","https://whylabs.ai","Artificial Intelligence   SAAS   Software"
156,"Rebellyous Foods","https://rebellyous.com","Food & Beverage"
157,"Forward","https://forwardplatform.com/","Analytics   Software"
158,"Ozette","https://www.ozette.ai/","Artificial Intelligence   Life Sciences"
159,"TerraClear","https://www.terraclear.com/","Agriculture   Hardware"
160,"Source","https://tothesource.com/","Marketplace   Real Estate   - B2B"
161,"Treasury4","https://www.treasury4.com/","Finance   Software"
162,"Edge Delta","https://edgedelta.com","Security   Software   - B2B"
163,"Yoodli","https://app.yoodli.ai/","Artificial Intelligence"
164,"Phaidra","https://phaidra.ai","Artificial Intelligence"
165,"Starfish Space","https://www.starfishspace.com","Aerospace   Software"
166,"Pictory","https://pictory.ai/","Artificial Intelligence   Media"
167,"AltPep","https://www.altpep.com/","Healthcare"
168,"Curi Bio","https://www.curibio.com","Healthcare   Life Sciences"
169,"StrikeGraph","https://www.strikegraph.com","Security   - B2B"
170,"Jetson","https://www.jetson.app/","Games   Mobile"
171,"Recurrent","https://www.recurrentauto.com/","Clean Tech"
172,"A-Alpha Bio","https://www.aalphabio.com/","Life Sciences   - B2B"
173,"Joon","https://www.joon.com/","Healthcare   Telecommunications   - B2C"
174,"iUNU","https://iunu.com/","Agriculture   Artificial Intelligence   Hardware"
175,"Vega Cloud","https://www.vegacloud.io","Cloud Computing   Software   - B2B"
176,"CurvaFix","http://www.curvafix.com/","Hardware   Healthcare"
177,"AdaptX","https://www.adaptx.com/","Artificial Intelligence   Healthcare"
178,"Data Skrive","http://dataskrive.com","Big Data   Marketing   - B2B"
179,"Enlyft","https://enlyft.com/","Artificial Intelligence   SAAS   - B2B"
180,"Imperative","https://www.imperative.com/","Business Intelligence   - B2B"
181,"Xembly","https://www.xembly.com/","Artificial Intelligence   Enterprise Software   - B2B"
182,"Inspectify","https://www.inspectify.com","Real Estate"
183,"Hubstream","http://www.hubstreamsoftware.com","Analytics   SAAS"
184,"Uplevel","https://www.uplevelteam.com/","Business Intelligence   Machine Learning"
185,"Placements.io","http://www.placements.io/","Advertising   - B2B"
186,"Docugami","https://www.docugami.com/","Artificial Intelligence   Business Intelligence   - B2B"
187,"Teal Communications","http://tealcommunications.com/#","Internet of Things   Security"
188,"Cyemptive","http://www.cyemptive.com/","Security"
189,"Alitheon","https://www.alitheon.com/","Artificial Intelligence   Cloud Computing   Machine Learning"
190,"Novel Effect","https://www.noveleffect.com/","Mobile   Voice Technology"
191,"Digs","https://digs.com/","Construction   Software"
192,"Lassen Peak","https://www.lassenpeak.com/","Hardware   Security   Smart Devices   - B2B"
193,"Observa","https://www.observanow.com","Analytics   Artificial Intelligence   Marketing"
194,"Koidra","https://www.koidra.ai/","Artificial Intelligence"
195,"Tavour","https://www.tavour.com/","Consumer Internet   E-commerce   Food & Beverage   - B2C"
196,"Arzeda","https://arzeda.com/","Healthcare"
197,"Evocalize","http://www.evocalize.com","Marketing   SAAS"
198,"Final Strike Games","http://finalstrike.games","Games"
199,"VinAudit.com","http://www.vinaudit.com/","Consumer Internet"
200,"SkyPoint Cloud","https://skypointcloud.com","SAAS"
